Für die baryzentrischen Koordinaten alpha, beta, gamma, wenn alpha = 0.2 ist, welche Kombinationen von beta und gamma sind gültig?;beta = 0.1, gamma = 0.9;beta = 0.3, gamma = 0.5;beta = 0.5, gamma = 0.5;beta = 0.4, gamma = 0.4;Keine der genannten Antworten.;24;
Von den baryzentrischen Koordinaten alpha, beta, gamma sind alpha und beta gegeben. Wie berechnet sich gamma?;gamma = 1 - alpha - beta;gamma = 1 + alpha + beta;gamma = 1 / (alpha + beta);gamma = 1 / alpha + 1 / beta;Keine der genannten Antworten.;1;
Die Matrixschreibweise hat den Vorteil, dass durch Kombination von Grundmatrizen komplexe Transformationen mit nur einer Matrix dargestellt werden koennen.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Die Matrizenmultiplikation ist assoziativ, d.h. die Reihenfolge der Ausführung der Multiplikationen spielt keine Rolle und verändert das Ergebnis nicht.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Mittels 3x3 Matrizen lassen sich alle geometrischen Transformationen von 3D Objekten darstellen.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Für einen homogenen 2D-Punkt (x, y, h) berechnet sich die tatsächliche x-Koordinate x' durch x' =x / h.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
In einem 200x200 groszen Bild, das mit einem Bayer Pattern aufgenommen wurde, gibt es genau gleich viele rote und blaue Pixel;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Bayer Pattern: um für alle Pixel die rote, grüne und blaue Farbinformation zu erhalten, muss ein Demosaicing durchgeführt werden;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Die dünne Linsengleichung (Thin Lens Equation) beschreibt die Projektionseigenschaften einer Lochkamera;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Die fokale Länge einer Kamera beeinflusst deren Sichtfeld (Field of View);WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Die Anzahl von Grauwertstufen eines Bildes nennt man radiometrische Aufloesung;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Je groeszer der Durchmesser der Blende einer Kamera, desto groeszer ist der Tiefenschärfebereich (Depth of Field);WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Octrees erlauben ein schnelles Durchsuchen bestimmter räumlicher Positionen eines Objektes.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Bei geometrischen Transformationen müssen Octrees oft komplett neu generiert werden.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
Die Genauigkeit der Objektdarstellung in Quad- und Octrees ist generell abhängig von der Baumtiefe.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
[Bild 59] Gegeben ist ein 5x5 Grauwertbild. Welches ist das Ergebnis für die 3 fett umrandeten Pixel bei Anwendung eines 3x3 Medianfilters auf das Bild?;| 50 | 100 | 90 |;| 90 | 90 | 90 |;| 100 | 50 | 90 |;| 100 | 90 | 90 |;Keine der genannten Antworten.;4;59n.png
Durch die hierarchische Objektdarstellung von Octrees lassen sich einzelne Teile im Octree sehr einfach transformieren.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Die Matrizenmultiplikation ist kommutativ, d.h. die Reihenfolge der Matrizen kann vertauscht werden, ohne dass sich das Ergebnis verändert.;WAHR;FALSCH;;;Keine der genannten Antworten.;2;
Wie heiszt das Theorem, das besagt, dass man ein Signal f(t) exakt wiedergewinnen kann, wenn man f(t) mit einer Rate abtastet, die groeszer als das Doppelte seiner hoechsten Frequenzkomponente ist?;Bayer;Shannon-Nyquist;Laplace;Fourier;Keine der genannten Antworten.;2;
Was ist der Ausgabewert der plenoptischen Funktion?;Lichtintensität;Farbe;Wellenlänge;Brechungsindex;Keine der genannten Antworten.;1;
Das CIE 1931 XYZ Farbmodell umfasst auch Farben, die der Mensch nicht sehen kann.;WAHR;FALSCH;;;Keine der genannten Antworten.;1;
