Betrachte Bild 7. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;2;07_til.png
Betrachte Bild 8. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;1;08_til.png
Betrachte Bild 9. Welche Sprache L(G) wird von G erzeugt?;a);b);c);d);Keine der genannten Antworten.;4;09_til.png
Betrachte Bild 10. Was gilt für die angegebene Sprache L?;L ist regulär.;L ist kontextfrei.;L ist kontextsensitiv.;L ist entscheidbar.;Keine der genannten Antworten.;34;10_til.png
Betrachte Bild 11. Was gilt für die angegebene Sprache L?;L ist regulär.;L ist kontextfrei.;L ist kontextsensitiv.;L ist entscheidbar.;Keine der genannten Antworten.;1234;11_til.png
Betrachte Bild 12. Was gilt für die angegebene Sprache L?;L ist regulär.;L ist kontextfrei.;L ist entscheidbar.;L ist rekursiv aufzählbar.;Keine der genannten Antworten.;1234;12_til.png
Betrachte Bild 13. Was gilt für die angegebene Sprache L?;L ist regulär.;L ist kontextfrei.;L ist entscheidbar.;L ist rekursiv aufzählbar.;Keine der genannten Antworten.;234;13_til.png
Betrachte Bild 14. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielführend.;Nein, die Sprache ist regulär.;Keine der genannten Antworten.;4;14_til.png
Betrachte Bild 15. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielführend.;Nein, die Sprache ist regulär.;Keine der genannten Antworten.;2;15_til.png
Betrachte Bild 16. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielführend.;Nein, die Sprache ist regulär.;Keine der genannten Antworten.;1;16_til.png
Betrachte Bild 17. Ist der angegebene Beweis korrekt?;Ja!;Nein, die Wahl von w ist nicht korrekt.;Nein, die Wahl von i ist nicht zielführend.;Nein, die Sprache ist regulär.;Keine der genannten Antworten.;3;17_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Ist L regulär, so ist jede Teilmenge von L regulär.;Ist L endlich, so ist jede Teilmenge von L regulär.;Ist L die leere Menge, so ist L kontextsensitiv.;Ist L kontextfrei und endlich, so ist L auch regulär.;Keine der genannten Antworten.;234;
Welche der nachfolgenden Aussagen sind korrekt?;Ist L nicht regulär, so kann das Komplement von L regulär sein.;Es gibt keine unbeschränkte Grammatik, welche L = {} erzeugt.;Kontextfreie Sprachen sind unter Komplement abgeschlossen.;Das Komplement einer kontextfreien Sprache ist nicht rekursiv aufzählbar.;Keine der genannten Antworten.;5;
Welche der nachfolgenden Aussagen sind korrekt?;Jede unentscheidbare Sprache enthält eine entscheidbare Teilmenge.;Sei L eine Sprache über Sigma. Ist Sigma* - L regulär, dann ist auch L regulär.;Sind L1 und L2 kontextfrei, so ist auch L1 - L2 kontextfrei.;Ist die Sprache L1L2 regulär, dann sind sowohl L1 als auch L2 regulär.;Keine der genannten Antworten.;12;
Welche der nachfolgenden Aussagen sind korrekt?;Ist L regulär, so ist auch {ww|w Element von L} regulär.;Ist L eine endliche Sprache, so gibt es eine monotone Grammatik, die L erzeugt.;Ist L eine formale Sprache, so gibt es eine unbeschränkte Grammatik, die L erzeugt.;Sind L1 und L2 kontextfrei, so kann deren Schnittmenge nie kontextfrei sein.;Keine der genannten Antworten.;2;
Welche der nachfolgenden Aussagen sind korrekt?;Jede reguläre Sprache kann von einer kontextfreien, nicht regulären Grammatik erzeugt werden.;Jede monotone Sprache, die von einer regulären Grammatik erzeugt werden kann, ist auch kontextfrei.;Zu einer kontextfreien Sprache gibt es immer eine monotone Grammatik, die die Sprache erzeugt.;Zu einer monotonen Sprache gibt es immer eine kontextsensitive Grammatik, die die Sprache erzeugt.;Keine der genannten Antworten.;1234;
Welche der nachfolgenden Aussagen sind korrekt?;Eine reguläre Grammatik ist immer auch kontextfrei und monoton.;Eine reguläre Sprache ist immer auch kontextfrei und monoton.;Es gibt keine kontextfreie, aber nicht reguläre Sprache, die von einer regulären Grammatik erzeugt werden kann.;Es gibt keine kontextsensitive Sprache, die von einer regulären Grammatik erzeugt werden kann.;Keine der genannten Antworten.;23;
Betrachte Bild 18. Welcher Automat akzeptiert die von G erzeugte Sprache?;A1;A2;A3;A4;Keine der genannten Antworten.;3;18_til.png
Betrachte Bild 19. Welche Sprache L wird vom Automaten akzeptiert?;L = {a, b}*;L = {aa, bb}*;L = {aa, bb, ab, ba}*;L = {};Keine der genannten Antworten.;4;19_til.png
Betrachte Bild 20. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;2;20_til.png
Betrachte Bild 21. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;3;21_til.png
Betrachte Bild 22. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;4;22_til.png
Betrachte Bild 23. Was ergibt die Schnittmenge von X und Y ?;a);b);c);d);Keine der genannten Antworten.;1;23_til.png
Betrachte Bild 24. Welche der Homomorphismen bilden L auf h(L) ab?;a);b);c);d);Keine der genannten Antworten.;12;24_til.png
Betrachte Bild 25. Welche der Homomorphismen bilden L auf h(L) ab?;a);b);c);d);Keine der genannten Antworten.;3;25_til.png
Betrachte Bild 26. Welche der Homomorphismen bilden L auf h(L) ab?;a);b);c);d);Keine der genannten Antworten.;4;26_til.png
Betrachte Bild 27. Welche der Homomorphismen bilden L auf h(L) ab?;a);b);c);d);Keine der genannten Antworten.;2;27_til.png
Betrachte Bild 28. Ist der angegebene Beweis korrekt?;Ja!;Der Homomorphismus h führt nicht zur angegebenen Sprache.;Die Angabe des Regulären Ausdrucks R ist nicht korrekt.;Der Index n der Dyck-Sprache Dn ist nicht korrekt.;Keine der genannten Antworten.;23;28_til.png
Betrachte Bild 29. Ist der angegebene Beweis korrekt?;Ja!;Der Homomorphismus h führt nicht zur angegebenen Sprache.;Die Angabe des Regulären Ausdrucks R ist nicht korrekt.;Der Index n der Dyck-Sprache Dn ist nicht korrekt.;Keine der genannten Antworten.;2;29_til.png
Betrachte Bild 30. Ist der angegebene Beweis korrekt?;Ja!;Der Homomorphismus h führt nicht zur angegebenen Sprache.;Die Angabe des Regulären Ausdrucks R ist nicht korrekt.;Der Index n der Dyck-Sprache Dn ist nicht korrekt.;Keine der genannten Antworten.;1;30_til.png
Betrachte Bild 31. Ist der angegebene Beweis korrekt?;Ja!;Der Homomorphismus h führt nicht zur angegebenen Sprache.;Die Angabe des Regulären Ausdrucks R ist nicht korrekt.;Der Index n der Dyck-Sprache Dn ist nicht korrekt.;Keine der genannten Antworten.;23;31_til.png
Welche der nachfolgenden Aussagen sind korrekt?;Mit dem Pumping Lemma für reguläre Sprachen kann gezeigt werden, dass eine Sprache regulär ist.;Das Pumping Lemma für reguläre Sprachen stellt eine notwendige, aber keine hinreichende Bedingung für reguläre Sprachen dar.;Mit dem Satz von Chomsky Schützenberger kann gezeigt werden, dass eine Sprache kontextfrei ist.;Mit dem Satz von Chomsky Schützenberger kann gezeigt werden, dass eine Sprache nicht kontextfrei ist.;Keine der genannten Antworten.;23;
Was trifft auf Turingmaschinen zu?;Turingmaschinen akzeptieren alle Wörter, die zu einem Endzustand führen.;Turingmaschinen können Symbole auf ein Band schreiben.;Turingmaschinen halten immer an, wenn ein Wort nicht in der Sprache liegt.;Turingmaschinen halten immer an, wenn ein Wort in der Sprache liegt.;Keine der genannten Antworten.;124;
Wann hält eine deterministische TM, beim Verarbeiten eines Wortes aus einer rekursiv aufzählbaren Sprache, an?;Immer!;Nur, wenn das Wort in der Sprache liegt.;Nur, wenn das Wort nicht in der Sprache liegt.;Nie!;Keine der genannten Antworten.;2;
Wann hält eine deterministische TM, beim Verarbeiten eines Wortes aus einer rekursiven Sprache, an?;Immer!;Nur, wenn das Wort in der Sprache liegt.;Nur, wenn das Wort nicht in der Sprache liegt.;Nie!;Keine der genannten Antworten.;1;
Welche der nachfolgenden Aussagen sind korrekt?;Eine rekursiv aufzählbare Sprache nennt man auch semi-entscheidbar.;Eine rekursiv aufzählbare Sprache nennt man auch entscheidbar.;Eine rekursive Sprache nennt man auch semi-entscheidbar.;Eine rekursive Sprache nennt man auch entscheidbar.;Keine der genannten Antworten.;14;
Welche der nachfolgenden Aussagen sind korrekt?;Eine TM mit zwei Bänder ist mächtiger als eine TM mit nur einem Band.;Eine nichtdeterministische TM ist mächtiger als eine deterministische TM.;Rekursive Sprachen sind eine Teilmenge der rekursiv aufzählbaren Sprachen.;Rekursiv aufzählbare Sprachen sind eine Teilmenge der rekursiven Sprachen.;Keine der genannten Antworten.;3;
Welche der nachfolgenden Aussagen sind korrekt?;Das Komplement einer rekursiven Sprache ist wieder rekursiv.;Wenn sowohl eine Sprache als auch ihr Komplement rekursiv aufzählbar sind, dann ist die Sprache rekursiv.;Das Komplement einer rekursiv aufzählbaren Sprache ist wieder rekursiv aufzählbar.;Das Komplement einer rekursiv aufzählbaren, nicht rekursiven Sprache, kann nie rekursiv aufzählbar sein.;Keine der genannten Antworten.;124;
Welche der nachfolgenden Aussagen sind korrekt?;Wenn eine Sprache und ihr Komplement rekursiv aufzählbar sind, ist das Komplement der Sprache rekursiv.;Jede rekursiv aufzählbare Sprache ist entscheidbar.;Jede rekursive Sprache ist entscheidbar.;Es gibt Sprachen die rekursiv, aber nicht rekursiv aufzählbar sind.;Keine der genannten Antworten.;13;
Welche der nachfolgenden Aussagen sind korrekt?;Das Halteproblem behandelt die Frage, ob es eine TM geben kann, die für den gegebenen Code eines Wortes w und einer beliebigen Turingmaschine M entscheiden kann, ob M auf w hält.;Es gibt Mechanismen, die mächtiger als Turingmaschinen sind.;Das Halteproblem ist rekursiv aufzählbar.;Das Halteproblem ist rekursiv.;Keine der genannten Antworten.;13;
Was gilt für Reduktionen von Problemen?;Reduktionen sind symmetrisch.;Reduktionen sind transitiv.;Reduktionen sind reflexiv.;Reduktionen sind antisymmetrisch.;Keine der genannten Antworten.;23;
Seien A und B Sprachen mit A <= B. Welche der nachfolgenden Aussagen sind korrekt?;Wenn A nicht entscheidbar ist, dann muss auch B nicht entscheidbar sein.;Wenn A nicht rekursiv ist, dann muss B rekursiv sein.;Wenn A nicht rekursiv aufzählbar ist, dann muss auch B nicht rekursiv aufzählbar sein.;Wenn A nicht rekursiv aufzählbar ist, dann kann B rekursiv aufzählbar sein.;Keine der genannten Antworten.;13;
Seien A und B Sprachen mit A <= B. Welche der nachfolgenden Aussagen sind korrekt?;Wenn B rekursiv ist, muss A entscheidbar sein.;Wenn B rekursiv ist, muss A rekursiv aufzählbar sein.;Wenn B rekursiv aufzählbar ist, muss A rekursiv aufzählbar sein.;Wenn B rekursiv aufzählbar ist, muss A semi-entscheidbar sein.;Keine der genannten Antworten.;1234;
Welche Aussagen sind nach dem Satz von Rice korrekt?;Es ist nicht entscheidbar, ob die von einer TM akzeptierte Sprache regulär ist.;Es ist nicht entscheidbar, ob die von einer TM akzeptierte Sprache rekursiv aufzählbar ist.;Es ist nicht entscheidbar, ob die von einer TM akzeptierte Sprache aus mehr als 5 Wörter besteht.;Es ist nicht entscheidbar, ob die von einer TM akzeptierte Sprache aus endlich vielen Wörtern besteht.;Keine der genannten Antworten.;134;
Welche Eigenschaften P sind nach dem Satz von Rice unentscheidbar?;P = {};P = {L | |L| >= 7 };P = {L | |L| = 0 };P = { {} };Keine der genannten Antworten.;234;
Welche der nachfolgenden Probleme sind nach dem Satz von Rice unentscheidbar?;Hat eine Turingmaschine weniger als 20 Zustände und hält bei Eingabe 0.;Ist die von einer Turingmaschine akzeptierte Sprache überabzählbar (unendlich).;Sind in der von einer Turingmaschine akzeptierten Sprache Wörter, die mit 101 beginnen.;Ist die von einer Turingmaschine akzeptierte Sprache eine Teilmenge von Sigma*.;Keine der genannten Antworten.;3;
Wofür steht die Komplexitätsklasse P?;Probleme, die in polynomieller Zeit von einer nicht-deterministischen TM lösbar sind.;Probleme, die in polynomieller Zeit von einer deterministischen TM lösbar sind.;Probleme, die effiziente Algorithmen haben.;Probleme, die in exponentieller Zeit von einer deterministischen TM lösbar sind.;Keine der genannten Antworten.;23;
Wofür steht die Komplexitätsklasse NP?;Probleme, die in polynomieller Zeit von einer nicht-deterministischen TM lösbar sind.;Probleme, die in polynomieller Zeit von einer deterministischen TM lösbar sind.;Probleme, die in exponentieller Zeit von einer deterministischen TM lösbar sind.;Probleme, die in polynomieller Zeit verifiziert werden können.;Keine der genannten Antworten.;134;
Welche der nachfolgenden Aussagen sind korrekt?;EXPTIME ist eine Teilmenge von P.;P ist eine Teilmenge von EXPTIME.;EXPTIME ist eine Teilmenge von NP.;NP ist eine Teilmenge von EXPTIME.;Keine der genannten Antworten.;24;
Welche der nachfolgenden Aussagen sind korrekt?;P ist jedenfalls eine Teilmenge von NP.;Es gibt Probleme, die in P liegen, aber nicht in NP.;Wenn P != NP gilt, so gibt es Probleme, die in NP liegen, aber nicht NP vollständig sind.;Wenn P = NP gilt, kann jedes Problem, das in exponentieller Zeit gelöst werden kann, schon in polynomieller Zeit gelöst werden.;Keine der genannten Antworten.;13;
Welche Aussagen über das Erfüllbarkeitsproblem (SAT) sind korrekt?;Es gibt eine deterministische Lösung für das Problems.;Es gibt eine nicht-deterministische Lösung für das Problem.;Es ist eine effiziente Lösung für das Problem bekannt.;Es ist NP-vollständig.;Keine der genannten Antworten.;124;
Seien A und B Sprachen mit A <=p B. Welche der nachfolgenden Aussagen sind korrekt?;Wenn B in NP liegt, dann muss auch A in NP liegen.;Wenn A in NP liegt, dann muss auch B in NP liegen.;Wenn A in P liegt, dann muss auch B in P liegen.;Wenn B in P liegt, dann muss auch A in P liegen.;Keine der genannten Antworten.;14;
Sei C eine entscheidbare Sprache und D eine rekursiv aufzählbare, aber nicht entscheidbare Sprache. Welche der nachfolgenden Aussagen sind korrekt?;C kann jedenfalls auf D reduziert werden (C <= D).;C kann keinesfalls auf D reduziert werden.;D kann jedenfalls auf C reduziert werden (D <= C).;D kann keinesfalls auf C reduziert werden.;Keine der genannten Antworten.;14;
Seien A und B Probleme, die in NP sein können, aber nicht müssen. Es gilt: A <=p B. Muss B NP-vollständig sein, wenn A NP-vollständig ist?;Ja!;Nur, wenn A auch in P liegt.;Nur, wenn B auch in NP liegt.;Nur, wenn B auch NP-hart ist.;Keine der genannten Antworten.;3;
Seien A und B Sprachen für die gilt: A ist in NP und B ist NP-vollständig. Kann B in polynomieller Zeit auf A reduziert werden (B <=p A)?;Ja, wenn A auch NP vollständig ist.;Ja, wenn B auch NP hart ist.;Ja, wenn P = NP gilt.;Nein!;Keine der genannten Antworten.;13;
Seien A und B Probleme, die in NP sein können, aber nicht müssen. Es gilt: A <=p B. Kann B in P liegen, wenn A NP-vollständig ist?;Ja, wenn P != NP gilt.;Ja, wenn P = NP gilt.;Ja, wenn B NP-hart ist und P != NP gilt.;Nein!;Keine der genannten Antworten.;2;
Seien A und B Probleme, die in NP sein können, aber nicht müssen mit A <=p B. Kann B in P sein, wenn das Komplement von A nicht in P ist?;Ja, wenn A NP vollständig ist.;Ja, wenn A in P liegt.;Ja, wenn das Komplement von B in P liegt.;Nein!;Keine der genannten Antworten.;4;
Betrachte Bild 32. In welchen Zeilen kommen Delta Formeln vor?;In Zeile (1).;In Zeile (2).;In Zeile (3).;In Zeile (4).;Keine der genannten Antworten.;2;32_til.png
Betrachte Bild 32. In welchen Zeilen kommen Gamma Formeln vor?;In Zeile (1).;In Zeile (2).;In Zeile (3).;In Zeile (4).;Keine der genannten Antworten.;1;32_til.png
Betrachte Bild 33. In welchen Zeilen kommen Delta Formeln vor?;In Zeile (1).;In Zeile (2).;In Zeile (3).;In Zeile (4).;Keine der genannten Antworten.;5;33_til.png
Betrachte Bild 33. In welchen Zeilen kommen Gamma Formeln vor?;In Zeile (1).;In Zeile (2).;In Zeile (3).;In Zeile (4).;Keine der genannten Antworten.;123;33_til.png
Betrachte die Formel in Bild 34. Wie kann man vorgehen, wenn die angegebene Formel in einem Tableau Kalkül vorkommt?;Die Delta Regel kann darauf angewendet werden.;Die Gamma Regel kann darauf angewendet werden.;Die Formel kann bei der Konjunktion in zwei Äste aufgeteilt werden.;Die Formel kann bei der Konjunktion in nur einem Ast aufgeteilt werden.;Keine der genannten Antworten.;4;34_til.png
Betrachte die Formel in Bild 35. Wie kann man vorgehen, wenn die angegebene Formel in einem Tableau Kalkül vorkommt?;Die Delta Regel kann darauf angewendet werden.;Die Gamma Regel kann darauf angewendet werden.;Die Formel kann bei der Konjunktion in zwei Äste aufgeteilt werden.;Die Formel kann bei der Konjunktion in nur einem Ast aufgeteilt werden.;Keine der genannten Antworten.;1;35_til.png
Betrachte die Formel in Bild 36. Wie kann man vorgehen, wenn die angegebene Formel in einem Tableau Kalkül vorkommt?;Die Delta Regel kann darauf angewendet werden.;Die Gamma Regel kann darauf angewendet werden.;Die Formel kann bei der Implikation in zwei Äste aufgeteilt werden.;Die Formel kann bei der Implikation in nur einem Ast aufgeteilt werden.;Keine der genannten Antworten.;3;36_til.png
Betrachte die Formel in Bild 37. Wie kann man vorgehen, wenn die angegebene Formel in einem Tableau Kalkül vorkommt?;Die Delta Regel kann darauf angewendet werden.;Die Gamma Regel kann darauf angewendet werden.;Die Formel kann bei der Implikation in zwei Äste aufgeteilt werden.;Die Formel kann bei der Implikation in nur einem Ast aufgeteilt werden.;Keine der genannten Antworten.;2;37_til.png
Mit welchen der angegebenen Formeln kann in einem Tableau Kalkül ein Ast geschlossen werden?;f: c = c;t: P(a) und f: P(a);t: f(f(a)) und f: t(t(a));f: h(a) = a und t: a = h(a);Keine der genannten Antworten.;12;
Betrachte Bild 38. Welche Aussagen sind für das angegebene Tableau korrekt?;Ein Ast ist offen.;Das Tableau ist geschlossen.;Es kommen keine Delta Formeln vor.;In Zeile (5) darf statt 'b' z.B. auch 'a' als Parameter gewählt werden.;Keine der genannten Antworten.;2;38_til.png
Betrachte Bild 39. In welchen der angegebenen Antworten, befinden sich Fehler?;In Formel (4).;In Formel (9).;In Formel (11).;In Formel (15).;Keine der genannten Antworten.;14;39_til.png
Betrachte Bild 40. In welchen der angegebenen Antworten, befinden sich Fehler?;In Formel (5).;In Formel (6).;In Formel (9).;In Formel (11).;Keine der genannten Antworten.;23;40_til.png
Betrachte Bild 41. In welchen der angegebenen Antworten, befinden sich Fehler?;In Formel (5).;In Formel (8).;In Formel (12).;In Formel (14).;Keine der genannten Antworten.;1;41_til.png
Betrachte Bild 42. In welchen der angegebenen Antworten, befinden sich Fehler?;In Formel (6).;In Formel (8).;In Formel (10).;In Formel (12).;Keine der genannten Antworten.;234;42_til.png
Betrachte Bild 43. Welche der nachfolgenden Antworten stellen Variablen dar, die in der Formel frei vorkommen?;a;f;x;y;Keine der genannten Antworten.;34;43_til.png
Betrachte Bild 44. Welche der nachfolgenden Antworten stellen Variablen dar, die in der Formel frei vorkommen?;a;x;y;z;Keine der genannten Antworten.;234;44_til.png
Betrachte Bild 45. Welche der nachfolgenden Antworten stellen Variablen dar, die in der Formel frei vorkommen?;x;y;z;b;Keine der genannten Antworten.;12;45_til.png
Betrachte Bild 46. Welche der nachfolgenden Antworten stellen Variablen dar, die in der Formel frei vorkommen?;x;y;z;f;Keine der genannten Antworten.;3;46_til.png
Sei K ein Kalkül in dem alle PL-Formeln beweisbar sind. Welche der nachfolgenden Aussagen treffen auf K zu?;K ist korrekt.;K ist nicht korrekt.;K ist vollständig.;K ist nicht vollständig.;Keine der genannten Antworten.;23;
Sei K ein Kalkül in dem keine einzige PL-Formel beweisbar ist. Welche der nachfolgenden Aussagen treffen auf K zu?;K ist korrekt.;K ist nicht korrekt.;K ist vollständig.;K ist nicht vollständig.;Keine der genannten Antworten.;14;
Sei K ein Kalkül für die Prädikatenlogik in dem nur endlich viele Formeln ableitbar sind. Welche der nachfolgenden Aussagen treffen auf K zu?;K könnte korrekt sein.;K ist sicher nicht korrekt.;K könnte vollständig sein.;K ist sicher nicht vollständig.;Keine der genannten Antworten.;14;
Welche der nachfolgenden Aussagen sind korrekt?;Aus der Korrektheit des Tableau-Kalküls folgt, dass für jede gültige Formel F mit freien Variablen ein geschlossenes Tableau mit Wurzel f : F exisitiert.;Aus der Vollständigkeit des Tableau-Kalküls folgt, dass für jede gültige Formel F mit freien Variablen ein geschlossenes Tableau mit Wurzel f : F exisitiert.;Aus der Korrektheit des Tableau-Kalküls folgt, dass für jede gültige Formel F ohne freie Variablen ein geschlossenes Tableau mit Wurzel f : F exisitiert.;Aus der Vollständigkeit des Tableau-Kalküls folgt, dass für jede gültige Formel F ohne freie Variablen ein geschlossenes Tableau mit Wurzel f : F exisitiert.;Keine der genannten Antworten.;4;
Welche der nachfolgenden Aussagen sind korrekt?;Ein geschlossener Term kann bei der Anwendung von beliebigen Variablensubstitutionen verändert werden.;Ein geschlossener Term bleibt bei der Anwendung von beliebigen Variablensubstitutionen unverändert.;In einem geschlossenen Term können Variablen vorkommen.;In einem geschlossenen Term können Funktionssymbole vorkommen.;Keine der genannten Antworten.;24;
Angenommen ein Tableau mit f : F an der Wurzel ist geschlossen. Welche der nachfolgenden Aussagen sind korrekt?;Die Negation von F ist erfüllbar.;Die Negation von F ist widerlegbar.;F ist gültig.;F ist unerfüllbar.;Keine der genannten Antworten.;23;
Sei G eine logische Konsequenz von F. Welche der nachfolgenden Aussagen sind korrekt?;Alle vollständig expandierten Tableaux, die mit f : F gefolgt von t : G beginnen, sind geschlossen.;Alle vollständig expandierten Tableaux, die mit t : F gefolgt von f : G beginnen, sind geschlossen.;Alle vollständig expandierten Tableaux, die mit f : F gefolgt von f : G beginnen, sind geschlossen.;Alle vollständig expandierten Tableaux, die mit t : F gefolgt von t : G beginnen, sind geschlossen.;Keine der genannten Antworten.;2;
Sei G eine logische Konsequenz von F. Welche der nachfolgenden Aussagen sind korrekt?;Wenn G gültig ist, so kann F unerfüllbar sein.;Wenn G unerfüllbar ist, so kann F gültig sein.;Wenn G widerlegbar ist, so kann F unerfüllbar sein.;Wenn G erfüllbar ist, so kann F gültig sein.;Keine der genannten Antworten.;134;
Angenommen eine prädikatenlogische Formel F hat kein Modell. Welche der nachfolgenden Aussagen sind korrekt?;Die Negation von F ist erfüllbar.;Die Negation von F ist widerlegbar.;F ist gültig.;F ist unerfüllbar.;Keine der genannten Antworten.;14;
Welche der nachfolgenden Aussagen sind korrekt?;Wenn eine prädikatenlogische Formel F unerfüllbar ist, so hat F kein Modell.;Wenn eine prädikatenlogische Formel F gültig ist, so sind alle Interpretationen ein Modell von F.;Wenn eine prädikatenlogische Formel F gültig ist, so hat F auch Modelle mit unendlichem Gegenstandsbereich.;Aus der Unentscheidbarkeit der Menge der prädikatenlogisch gültigen Formeln folgt, dass es kein Verfahren gibt, mit dem man für jede gegebene Formel feststellen kann, ob sie unerfüllbar ist.;Keine der genannten Antworten.;1234;
Betrachte das Hoare-Triple in Bild 47. Welche Aussagen sind korrekt?;Das Programm terminiert immer.;Das Programm terminiert nie.;Das Programm ist partiell korrekt.;Das Programm ist total korrekt.;Keine der genannten Antworten.;23;47_til.png
Betrachte das Hoare-Triple in Bild 48. Welche Aussagen sind korrekt?;Das Programm ist partiell korrekt.;Das Programm ist total korrekt.;Die Vorbedingung ist in allen Umgebungen erfüllt.;Die Vorbedingung ist in keiner Umgebung erfüllt.;Keine der genannten Antworten.;124;48_til.png
Welche Aussagen sind korrekt?;Wenn die Vorbedingung eines Programmes in mindestens einer Umgebung gilt, und das Programm nicht terminiert, so ist es partiell korrekt.;Wenn die Vorbedingung eines Programmes in mindestens einer Umgebung gilt, und das Programm nicht terminiert, so ist es total korrekt.;Wenn ein Programm total korrekt ist, so muss es auch partiell korrekt sein.;Wenn ein Programm partiell korrekt ist und terminiert, so ist es auch total korrekt.;Keine der genannten Antworten.;134;
Welche Aussagen sind korrekt?;Wenn die Vorbedingung gilt, das Programm terminiert, aber die Nachbedingung nicht gilt, so ist das Programm nur partiell korrekt.;Wenn die Vorbedingung gilt, das Programm terminiert, aber die Nachbedingung nicht gilt, so ist das Programm partiell und total korrekt.;Wenn ein Programm nicht partiell korrekt ist, so kann es auch nicht total korrekt sein.;Wenn ein Programm nicht total korrekt ist, so kann es auch nicht partiell korrekt sein.;Keine der genannten Antworten.;3;
Welche Aussagen sind korrekt?;Mit dem Hoare Kalkül kann partielle Korrektheit gezeigt werden.;Wenn ein Programm in mindestens einer Umgebung, in der die Vorbedingung gilt, terminiert und im Anschluss die Nachbedingung gilt, so ist das Programm total korrekt.;Wenn ein Programm bezüglich einer Vorbedingung P und einer Nachbedingung Q total korrekt ist, so sind P und Q in allen Umgebungen erfüllt.;Wenn ein Programm bezüglich einer Vorbedingung P und einer Nachbedingung Q total korrekt ist, so können P und Q auch in keiner Umgebung erfüllt sein.;Keine der genannten Antworten.;14;
